Order ID,Order Date,Customer ID,Customer Name,Product ID,Product Name,Category,Sub-Category,Region,State,City,Quantity,Sales,Profit,Discount,Shipping Mode,Return Status
ORD-000030,2024-05-10,CUST-00478,Rahul Singh,PRD-ELE-CAM-244,ClickPro DSLR,Electronics,Cameras,South,Telangana,Warangal,4,125572.51,19247.12,0.3,Same Day,Not Returned
ORD-000031,2024-11-01,CUST-00592,Vivaan Verma,PRD-OFF-PAP-610,PrintReady A4 Ream,Office Supplies,Paper,East,Odisha,Bhubaneswar,6,10324.73,1388.68,0.1,Standard Class,Not Returned
ORD-000032,2025-03-16,CUST-00518,Kiara Rao,PRD-FUR-TAB-697,FoldEasy Table,Furniture,Tables,North,Delhi,New Delhi,5,37346.94,1598.19,0.2,Second Class,Not Returned
ORD-000033,2025-08-21,CUST-00293,Neha Sharma,PRD-CLO-MEN-237,DenimComfort Jeans,Clothing,Men's Wear,East,Bihar,Patna,4,6033.19,1547.3,0.15,Standard Class,Not Returned
ORD-000034,2024-02-03,CUST-00372,Neha Das,PRD-CLO-MEN-616,DenimComfort Jeans,Clothing,Men's Wear,North,Haryana,Gurugram,5,18961.99,5106.31,0.0,Same Day,Not Returned
ORD-000035,2024-11-25,CUST-00572,Sai Chatterjee,PRD-HOM-COO-716,NonStick Pan Set,Home & Kitchen,Cookware,North,Delhi,New Delhi,5,36356.0,2401.51,0.0,Standard Class,Not Returned
ORD-000036,2025-08-28,CUST-00532,Neha Iyer,PRD-FUR-TAB-727,OfficePro Desk,Furniture,Tables,South,Kerala,Thiruvananthapuram,3,35293.02,-844.16,0.3,First Class,Not Returned
ORD-000037,2024-09-05,CUST-00487,Aarav Kumar,PRD-OFF-BIN-789,RingFolder Set,Office Supplies,Binders,South,Kerala,Thiruvananthapuram,1,1513.7,379.65,0.0,Second Class,Not Returned
ORD-000038,2024-04-11,CUST-00739,Kabir Rao,PRD-ELE-CAM-636,ClickPro DSLR,Electronics,Cameras,West,Rajasthan,Udaipur,6,204375.05,21798.51,0.0,First Class,Not Returned
ORD-000039,2023-08-14,CUST-00196,Myra Pillai,PRD-ELE-HEA-255,BassBoost Earbuds,Electronics,Headphones,NORTH,Punjab,Amritsar,3,53641.66,10326.52,0.25,Same Day,Not Returned
ORD-000040,2023-05-08,CUST-00723,Isha Sharma,PRD-ELE-LAP-778,BizBook Air,Electronics,Laptops,North,Uttar Pradesh,Noida,3,109393.51,7331.52,0.0,Standard Class,Not Returned
ORD-000041,2024-12-26,CUST-00693,Ishaan Verma,PRD-OFF-BIN-296,RingFolder Set,Office Supplies,Binders,East,Odisha,Bhubaneswar,3,937.18,219.5,0.05,Same Day,Not Returned
ORD-000042,2024-08-14,CUST-00722,Diya Rao,PRD-ELE-CAM-591,ActionCam 4K,Electronics,Cameras,North,Haryana,Faridabad,2,107200.59,19239.37,0.0,Second Class,Not Returned
ORD-000043,2025-03-19,CUST-00354,Aadhya Sharma,PRD-HOM-COO-143,SteelPro Cookware,Home & Kitchen,Cookware,South,Karnataka,Mysuru,4,11412.83,1479.93,0.2,Second Class,Not Returned
ORD-000044,2024-03-14,CUST-00207,Rohan Chatterjee,PRD-OFF-BIN-240,RingFolder Set,Office Supplies,Binders,South,Tamil Nadu,Chennai,2,3002.43,294.95,0.0,Second Class,Not Returned
ORD-000045,2024-04-21,CUST-00054,Sanya Pillai,PRD-ELE-HEA-583,StudioSound Headset,Electronics,Headphones,South,Tamil Nadu,Chennai,5,216835.4,28005.41,0.25,Standard Class,Not Returned
ORD-000046,2025-09-01,CUST-00489,Suresh Bose,PRD-CLO-KID-392,SchoolUniform Set,Clothing,Kids Wear,West,Maharashtra,Nagpur,2,1945.48,-115.66,0.3,First Class,Not Returned
ORD-000047,2023-03-18,CUST-00180,Ananya Verma,PRD-FUR-TAB-956,FoldEasy Table,Furniture,Tables,North,Uttar Pradesh,Lucknow,4,18858.17,1260.57,0.1,First Class,Returned
ORD-000048,2023-08-08,CUST-00344,Arjun Iyer,PRD-FUR-STO-971,StackBox Storage,Furniture,Storage,North,Haryana,Gurugram,1,20568.32,2951.02,0.0,Standard Class,Not Returned
ORD-000049,2024-06-10,CUST-00736,Rahul Gupta,PRD-ELE-HEA-681,BassBoost Earbuds,Electronics,Headphones,West,Maharashtra,Mumbai,6,218698.13,43322.22,0.3,First Class,Not Returned
ORD-000050,2025-11-21,CUST-00336,Suresh Verma,PRD-ELE-MOB-243,Pixel Series Phone,Electronics,Mobiles,North,Punjab,Ludhiana,3,93121.98,5708.74,0.1,Standard Class,Not Returned
ORD-000051,2024-06-30,CUST-00338,Divya Das,PRD-FUR-CHA-769,ExecutiveDeluxe Chair,Furniture,Chairs,North,Punjab,Ludhiana,7,165797.97,23879.32,0.0,Standard Class,Not Returned
ORD-000052,2025-10-26,CUST-00721,Arjun Pillai,PRD-OFF-STA-476,NoteBook Pack,Office Supplies,Stationery,West,Maharashtra,Mumbai,2,1703.36,346.47,0.2,Standard Class,Not Returned
ORD-000053,2025-02-04,CUST-00426,Lakshmi Iyer,PRD-OFF-ART-880,ColorSplash Kit,Office Supplies,Art Supplies,South,Karnataka,Hubballi,1,1264.08,373.79,0.2,Second Class,Not Returned
ORD-000054,2023-08-18,CUST-00064,Meena Chatterjee,PRD-OFF-PAP-268,PrintReady A4 Ream,Office Supplies,Paper,North,Uttar Pradesh,Lucknow,2,1385.29,373.64,0.05,First Class,Not Returned
ORD-000055,2025-11-11,CUST-00457,Aadhya Singh,PRD-OFF-ART-625,ColorSplash Kit,Office Supplies,Art Supplies,North,Delhi,New Delhi,4,644.98,133.85,0.1,First Class,Not Returned
ORD-000056,2023-01-07,CUST-00764,Sai Menon,PRD-ELE-MOB-533,Galaxy Note Phone,Electronics,Mobiles,North,Delhi,New Delhi,7,59007.76,4560.24,0.0,Same Day,Not Returned
ORD-000057,2024-08-10,CUST-00419,Kabir Kumar,PRD-ELE-LAP-483,ProDesk Notebook,Electronics,Laptops,East,Odisha,Bhubaneswar,2,61938.78,3392.43,0.15,Standard Class,Not Returned
ORD-000058,2023-09-30,CUST-00670,Myra Rao,PRD-HOM-COO-650,NonStick Pan Set,Home & Kitchen,Cookware,North,Punjab,Ludhiana,1,5134.83,498.43,0.0,First Class,Not Returned
ORD-000059,2025-08-06,CUST-00690,Diya Menon,PRD-OFF-ART-943,SketchPro Set,Office Supplies,Art Supplies,South,Kerala,Thiruvananthapuram,1,1096.35,261.49,0.0,Standard Class,Not Returned
ORD-000060,2023-08-20,CUST-00033,Priya Das,PRD-OFF-ART-346,ColorSplash Kit,Office Supplies,Art Supplies,South,Karnataka,Hubballi,3,3143.31,419.14,0.0,Standard Class,Not Returned
ORD-000061,2023-04-10,CUST-00251,Aditya Patel,PRD-OFF-ART-339,SketchPro Set,Office Supplies,Art Supplies,North,Delhi,New Delhi,5,839.81,132.79,0.25,Standard Class,Not Returned
ORD-000062,2024-10-15,CUST-00592,Vivaan Verma,PRD-CLO-KID-409,PlayTime Tshirt,Clothing,Kids Wear,East,Bihar,Patna,2,4201.23,801.47,0.15,Standard Class,Returned
ORD-000063,2023-12-25,CUST-00642,Aditya Reddy,PRD-CLO-FOO-452,RunFast Sneakers,Clothing,Footwear,East,Bihar,Patna,3,2649.91,-290.63,0.25,Standard Class,Returned
ORD-000064,2025-02-09,CUST-00189,Myra Iyer,PRD-OFF-ART-969,ColorSplash Kit,Office Supplies,Art Supplies,South,Tamil Nadu,Coimbatore,7,13962.54,4112.17,0.0,Second Class,Not Returned
ORD-000065,2025-12-21,CUST-00138,Vivaan Verma,PRD-FUR-BOO-438,WoodCraft Bookcase,Furniture,Bookcases,West,Gujarat,Surat,6,139914.89,6200.42,0.0,Second Class,Not Returned
ORD-000066,2023-04-16,CUST-00275,Rahul Bose,PRD-FUR-CHA-292,ErgoComfort Chair,Furniture,Chairs,West,Rajasthan,Jaipur,1,14425.66,889.82,0.2,Standard Class,Not Returned
ORD-000067,2024-09-12,CUST-00016,Aadhya Singh,PRD-ELE-LAP-864,UltraBook Pro 14,Electronics,Laptops,East,Odisha,Bhubaneswar,5,15931.29,2425.15,0.3,Standard Class,Not Returned
ORD-000068,2024-10-20,CUST-00795,Diya Rao,PRD-FUR-STO-415,CabinetPro Unit,Furniture,Storage,South,Kerala,Thiruvananthapuram,6,128683.88,6003.13,0.0,First Class,Not Returned
ORD-000069,2024-10-17,CUST-00209,Kabir Patel,PRD-FUR-STO-676,StackBox Storage,Furniture,Storage,East,Bihar,Patna,4,18106.33,2279.49,0.0,Standard Class,Not Returned
ORD-000070,2025-05-05,CUST-00303,Priya Iyer,PRD-ELE-HEA-488,NoiseCancel Pro,Electronics,Headphones,North,Punjab,Amritsar,5,133604.08,19187.58,0.25,Second Class,Not Returned
ORD-000071,2025-09-27,CUST-00741,Rohan Nair,PRD-CLO-FOO-272,ComfortWalk Sandals,Clothing,Footwear,West,Gujarat,Ahmedabad,7,25577.63,4699.29,0.0,First Class,Not Returned
ORD-000072,2023-05-01,CUST-00537,Priya Kumar,PRD-ELE-MOB-882,Galaxy Note Phone,Electronics,Mobiles,South,Tamil Nadu,Madurai,5,143113.12,22332.38,0.05,Standard Class,Not Returned
ORD-000073,2024-03-23,CUST-00518,Kiara Rao,PRD-FUR-CHA-753,StudyDesk Chair,Furniture,Chairs,West,Rajasthan,Udaipur,5,37366.18,2677.19,,Standard Class,Not Returned
ORD-000074,2025-04-22,CUST-00013,Suresh Singh,PRD-ELE-HEA-393,StudioSound Headset,Electronics,Headphones,South,Kerala,Kochi,4,185981.65,26010.35,0.0,Same Day,Not Returned
ORD-000075,2024-05-08,CUST-00197,Meena Iyer,PRD-CLO-KID-373,SchoolUniform Set,Clothing,Kids Wear,West,Maharashtra,Pune,7,5161.03,1641.37,0.15,Standard Class,Not Returned
ORD-000076,2024-04-07,CUST-00308,Ishaan Verma,PRD-OFF-STA-195,WriteWell Pen Set,Office Supplies,Stationery,North,Uttar Pradesh,Kanpur,4,4972.58,1317.22,0.2,Standard Class,Returned
ORD-000077,2023-12-17,CUST-00085,Suresh Reddy,PRD-CLO-FOO-903,FormalStep Shoes,Clothing,Footwear,North,Delhi,New Delhi,1,3233.73,801.38,0.05,Standard Class,Not Returned
ORD-000078,2025-08-31,CUST-00278,Aditya Kumar,PRD-ELE-MOB-656,iSmart Phone X,Electronics,Mobiles,North,Delhi,New Delhi,1,11673.29,2095.68,0.1,Standard Class,Not Returned
ORD-000079,2023-10-23,CUST-00771,Diya Shetty,PRD-OFF-ART-406,ColorSplash Kit,Office Supplies,Art Supplies,South,Tamil Nadu,Madurai,3,2999.77,423.18,0.15,Second Class,Not Returned
ORD-000080,2025-02-25,CUST-00774,Lakshmi Menon,PRD-OFF-STA-154,NoteBook Pack,Office Supplies,Stationery,South,Tamil Nadu,Chennai,2,611.81,129.08,0.1,Second Class,Not Returned
ORD-000081,2025-03-23,CUST-00793,Kabir Iyer,PRD-FUR-BOO-602,ModernShelf Unit,Furniture,Bookcases,South,Kerala,Thiruvananthapuram,7,141643.68,18237.11,0.0,Second Class,Not Returned
ORD-000082,2023-06-25,CUST-00791,Rohan Menon,PRD-CLO-WOM-175,SummerDress,Clothing,Women's Wear,South,Tamil Nadu,Coimbatore,2,3565.65,1199.94,0.0,First Class,Not Returned
ORD-000083,2023-08-07,CUST-00094,Priya Chatterjee,PRD-ELE-HEA-468,BassBoost Earbuds,Electronics,Headphones,West,Maharashtra,Mumbai,6,191840.67,21332.24,0.0,Standard Class,Not Returned
ORD-000084,2025-11-15,CUST-00418,Diya Verma,PRD-ELE-MOB-667,iSmart Phone X,Electronics,Mobiles,South,Telangana,Warangal,6,125309.15,21402.46,0.0,Standard Class,Not Returned
ORD-000085,2023-06-23,CUST-00743,Lakshmi Reddy,PRD-HOM-COO-801,NonStick Pan Set,Home & Kitchen,Cookware,North,Punjab,Amritsar,4,1440.41,214.79,0.1,Standard Class,Not Returned
ORD-000086,2023-12-09,CUST-00446,Suresh Pillai,PRD-ELE-HEA-901,BassBoost Earbuds,Electronics,Headphones,South,Telangana,Hyderabad,4,135915.56,14197.59,0.2,Second Class,Not Returned
ORD-000087,2023-08-08,CUST-00139,Sanya Menon,PRD-FUR-STO-961,CabinetPro Unit,Furniture,Storage,West,Gujarat,Surat,1,7387.46,615.86,0.1,Standard Class,Not Returned
ORD-000088,2023-10-06,CUST-00308,Ishaan Verma,PRD-FUR-TAB-421,OfficePro Desk,Furniture,Tables,South,Kerala,Thiruvananthapuram,3,50900.8,3808.47,0.1,First Class,Not Returned
ORD-000089,2024-05-11,CUST-00334,Sai Kumar,PRD-FUR-STO-216,CabinetPro Unit,Furniture,Storage,East,West Bengal,Kolkata,5,86101.17,-2900.62,0.25,First Class,Not Returned
ORD-000090,2024-03-05,CUST-00449,Myra Pillai,PRD-OFF-STA-789,NoteBook Pack,Office Supplies,Stationery,North,Haryana,Gurugram,1,1156.09,288.56,0.1,Second Class,Not Returned
ORD-000091,2025-02-11,CUST-00076,Lakshmi Kumar,PRD-FUR-STO-647,CabinetPro Unit,Furniture,Storage,North,Uttar Pradesh,Kanpur,2,37530.4,2159.13,0.0,First Class,Not Returned
ORD-000092,2023-06-24,CUST-00112,Myra Pillai,PRD-OFF-BIN-762,ClipFile Binder,Office Supplies,Binders,West,Rajasthan,Udaipur,3,845.78,224.25,0.1,Same Day,Not Returned
ORD-000093,2023-01-22,CUST-00101,Arjun Verma,PRD-ELE-ACC-631,Wireless Mouse,Electronics,Accessories,North,Punjab,Amritsar,3,97559.36,15534.21,0.1,Standard Class,Not Returned
ORD-000094,2025-10-21,CUST-00155,Isha Iyer,PRD-FUR-CHA-207,ExecutiveDeluxe Chair,Furniture,Chairs,South,Karnataka,Bengaluru,3,3767.03,470.75,0.0,Standard Class,Not Returned
ORD-000095,2024-02-28,CUST-00534,Lakshmi Singh,PRD-CLO-FOO-548,RunFast Sneakers,Clothing,Footwear,West,Gujarat,Surat,1,3529.9,1102.38,0.0,Standard Class,Not Returned
ORD-000096,2023-08-24,CUST-00024,Isha Reddy,PRD-OFF-STA-858,WriteWell Pen Set,Office Supplies,Stationery,South,Tamil Nadu,Madurai,7,952.86,141.81,0.0,Standard Class,Not Returned
ORD-000097,2025-08-04,CUST-00238,Divya Shetty,PRD-OFF-PAP-755,PrintReady A4 Ream,Office Supplies,Paper,West,Gujarat,Ahmedabad,7,9267.47,2431.43,0.3,Standard Class,Not Returned
ORD-000098,2023-01-10,CUST-00722,Diya Rao,PRD-ELE-HEA-928,StudioSound Headset,Electronics,Headphones,West,Rajasthan,Jaipur,7,117547.91,-10128.58,0.25,Standard Class,Not Returned
ORD-000099,2024-06-21,CUST-00687,Isha Pillai,PRD-HOM-DEC-711,AromaGlow Candle Set,Home & Kitchen,Decor,North,Uttar Pradesh,Kanpur,5,2439.43,511.41,0.0,Standard Class,Not Returned
ORD-000100,2023-12-20,CUST-00690,Diya Menon,PRD-OFF-BIN-788,ClipFile Binder,Office Supplies,Binders,South,Karnataka,Bengaluru,3,601.18,100.77,0.1,Standard Class,Not Returned
ORD-000101,2023-10-17,CUST-00524,Diya Das,PRD-FUR-TAB-492,CoffeeCorner Table,Furniture,Tables,North,Uttar Pradesh,Kanpur,7,98460.91,5761.94,0.25,Second Class,Not Returned
ORD-000102,2023-12-08,CUST-00502,Neha Verma,PRD-FUR-TAB-962,OfficePro Desk,Furniture,Tables,North,Delhi,New Delhi,6,22831.97,1225.34,0.0,Standard Class,Not Returned
ORD-000103,2025-02-25,CUST-00576,Aditya Shetty,PRD-CLO-FOO-801,ComfortWalk Sandals,Clothing,Footwear,North,Uttar Pradesh,Noida,3,9151.22,2815.47,0.0,Standard Class,Returned
ORD-000104,2024-03-27,CUST-00300,Isha Menon,PRD-ELE-LAP-272,BizBook Air,Electronics,Laptops,West,Rajasthan,Udaipur,1,10389.59,2029.77,,Second Class,Not Returned
ORD-000105,2025-01-21,CUST-00556,Kabir Gupta,PRD-OFF-STA-659,NoteBook Pack,Office Supplies,Stationery,South,Kerala,Kochi,2,3420.0,946.94,0.05,Standard Class,Not Returned
ORD-000106,2025-07-10,CUST-00270,Priya Pillai,PRD-FUR-CHA-986,ExecutiveDeluxe Chair,Furniture,Chairs,East,West Bengal,Kolkata,3,15794.69,1978.08,0.3,First Class,Not Returned
ORD-000107,2025-05-26,CUST-00170,Reyansh Singh,PRD-CLO-WOM-924,EleganceSaree,Clothing,Women's Wear,South,Telangana,Warangal,4,8334.63,992.09,0.3,Standard Class,Not Returned
ORD-000108,2024-08-15,CUST-00587,Lakshmi Reddy,PRD-ELE-ACC-934,Wireless Mouse,Electronics,Accessories,South,Kerala,Kochi,6,193700.92,17443.59,0.1,First Class,Not Returned
ORD-000109,2023-09-29,CUST-00256,Neha Reddy,PRD-ELE-HEA-879,NoiseCancel Pro,Electronics,Headphones,East,Odisha,Bhubaneswar,3,30887.06,4782.82,0.0,Second Class,Not Returned
ORD-000110,2025-04-28,CUST-00385,Myra Nair,PRD-FUR-CHA-627,ExecutiveDeluxe Chair,Furniture,Chairs,West,Rajasthan,Udaipur,7,23895.78,3062.9,0.2,Same Day,Not Returned
ORD-000111,2023-01-06,CUST-00793,Kabir Iyer,PRD-OFF-STA-750,NoteBook Pack,Office Supplies,Stationery,West,Gujarat,Ahmedabad,6,3530.5,-367.21,0.25,Same Day,Not Returned
ORD-000112,2025-10-10,CUST-00275,Rahul Bose,PRD-FUR-BOO-660,ModernShelf Unit,Furniture,Bookcases,North,Uttar Pradesh,Noida,4,93529.08,5529.93,0.0,Standard Class,Not Returned
ORD-000113,2025-07-30,CUST-00017,Reyansh Gupta,PRD-ELE-LAP-567,ProDesk Notebook,Electronics,Laptops,South,Kerala,Kochi,1,4228.89,494.33,0.0,First Class,Not Returned
ORD-000114,2024-07-15,CUST-00096,Kabir Reddy,PRD-CLO-KID-480,PlayTime Tshirt,Clothing,Kids Wear,West,Rajasthan,Jaipur,1,3150.51,650.72,0.0,Standard Class,Not Returned
ORD-000115,2024-04-24,CUST-00440,Kabir Sharma,PRD-CLO-MEN-318,ClassicFit Shirt,Clothing,Men's Wear,North,Punjab,Ludhiana,7,17890.97,6097.41,0.25,Standard Class,Not Returned
ORD-000116,2023-09-04,CUST-00433,Arjun Shetty,PRD-OFF-ART-334,ColorSplash Kit,Office Supplies,Art Supplies,North,Delhi,New Delhi,7,3683.73,467.4,0.1,Standard Class,Not Returned
ORD-000117,2025-02-22,CUST-00793,Kabir Iyer,PRD-OFF-PAP-170,PrintReady A4 Ream,Office Supplies,Paper,North,Delhi,New Delhi,1,887.44,159.57,0.2,Standard Class,Not Returned
ORD-000118,2023-11-07,CUST-00422,Aditya Patel,PRD-CLO-FOO-188,RunFast Sneakers,Clothing,Footwear,East,West Bengal,Kolkata,7,2059.7,266.37,0.3,Standard Class,Not Returned
ORD-000119,2023-10-14,CUST-00254,Reyansh Sharma,PRD-ELE-MOB-666,Pixel Series Phone,Electronics,Mobiles,West,Rajasthan,Udaipur,4,135432.12,18762.71,0.0,First Class,Not Returned
ORD-000120,2024-09-09,CUST-00211,Isha Menon,PRD-CLO-WOM-501,SummerDress,Clothing,Women's Wear,South,Karnataka,Bengaluru,6,12096.36,1329.45,0.2,Standard Class,Not Returned
ORD-000121,2023-05-26,CUST-00541,Lakshmi Pillai,PRD-HOM-COO-424,SteelPro Cookware,Home & Kitchen,Cookware,South,Kerala,Thiruvananthapuram,1,1439.77,202.75,0.25,First Class,Not Returned
ORD-000122,2023-05-30,CUST-00018,Aadhya Rao,PRD-CLO-MEN-320,DenimComfort Jeans,Clothing,Men's Wear,South,Karnataka,Mysuru,1,443.06,-13.49,0.25,First Class,Not Returned
ORD-000123,2025-05-17,CUST-00719,Aadhya Pillai,PRD-FUR-TAB-185,OfficePro Desk,Furniture,Tables,South,Tamil Nadu,Chennai,3,50692.65,-4117.55,0.25,Second Class,Not Returned
ORD-000124,2023-05-16,CUST-00318,Lakshmi Reddy,PRD-OFF-PAP-350,PrintReady A4 Ream,Office Supplies,Paper,South,Kerala,Kochi,7,9204.89,901.7,0.2,Second Class,Returned
ORD-000125,2023-12-26,CUST-00123,Priya Patel,PRD-ELE-LAP-267,UltraBook Pro 14,Electronics,Laptops,North,Haryana,Faridabad,7,275081.91,44464.75,0.0,Standard Class,Not Returned
ORD-000126,2024-07-04,CUST-00751,Ananya Verma,PRD-HOM-COO-926,SteelPro Cookware,Home & Kitchen,Cookware,North,Delhi,New Delhi,6,22291.53,2091.08,0.3,Standard Class,Not Returned
ORD-000127,2023-04-24,CUST-00512,Aadhya Shetty,PRD-HOM-COO-261,SteelPro Cookware,Home & Kitchen,Cookware,South,Karnataka,Hubballi,4,20565.96,2825.34,0.0,Standard Class,Not Returned
ORD-000128,2023-04-01,CUST-00013,Suresh Singh,PRD-ELE-CAM-492,ActionCam 4K,Electronics,Cameras,East,West Bengal,Kolkata,1,20074.52,2273.6,0.25,First Class,Not Returned
ORD-000129,2024-04-04,CUST-00330,Sai Sharma,PRD-ELE-HEA-945,BassBoost Earbuds,Electronics,Headphones,South,Telangana,Hyderabad,5,106410.44,14927.08,0.25,Standard Class,Not Returned
ORD-000130,2025-11-22,CUST-00048,Suresh Menon,PRD-HOM-COO-986,SteelPro Cookware,Home & Kitchen,Cookware,South,Telangana,Warangal,6,25584.56,5495.57,0.0,Second Class,Returned
ORD-000131,2024-02-15,CUST-00299,Neha Sharma,PRD-CLO-KID-575,PlayTime Tshirt,Clothing,Kids Wear,North,Uttar Pradesh,Lucknow,2,3715.69,1192.47,0.25,Standard Class,Returned
